Salt cod fried rice,Mission Chinese Food
Roasted chicken and bread salad,Zuni Cafe
Dry-fried chicken wings,San Tung
Carnitas taco,La Taqueria
Chasu ramen,Katana-Ya
Custard French toast,Nopa
Morning bun,Tartine Bakery
Cellophane noodles with crab,The Slanted Door
Eggs in Jail,Outerlands
Kelvin-made ice cream,Smitten
Pork sugo with pappardelle,Delfina
Porchetta sandwich,RoliRoti
Soup dumplings,Kingdom of Dumpling
Warm egg salad sandwich,Il Cane Rosso
Any seasonal flavor,Scream Sorbet
Katsu curry,Muracci’s Japanese Curry & Grill
Pizza margherita,Pizzeria Delfina
The $24 prix fixe,Cotogna
Benwaffles,Bar Jules (monthly)
Salumi misti plate,Perbacco
Tonkotsu ramen,Izakaya Sozai
Vietnamese roasted pork sandwich,Saigon Sandwich
Duck and sausage jambalaya,at Boxing Room (Thursdays)
Loaf of bread straight out of the oven,at Tartine Bakery
Pistachio meatballs,Zaré at Fly Trap
Spicy baby octopus stew,La Ciccia
Tuna tartare,Bix
Clam chowder,Anchor Oyster Bar
Amatriciana pizza,Ragazza
Pupusas,Balompie Cafe
Prime rib,House of Prime Rib
Pork belly bun,Chairman Bao Bun’s truck
The Little Star,Little Star Pizza
Argentine beef empanadas,Venga Empanadas
Salted caramel ice cream,Bi-Rite Creamery
Soft garlic pretzels,Absinthe’s bar
Whole wheat pasta with hen and liver,Flour + Water
Burger and fries,Spruce’s bar
Egg custard tart,Golden Gate Bakery
Pierna enchilada torta,La Torta Gorda
Langos,Bar Tartine
Maccaronara with ricotta salata,A16
Nojo sundae,Nojo
Beer sausage,Rosamunde Sausage Grill
Duck larb,Lers Ros Thai
Secret Breakfast,Humphry Slocombe
Chips and salsa,Papalote
Seafood chowder,Bar Crudo
Ginger snaps,Miette
Chicken soup with dumplings,Leopold’s
 Pho ga,Turtle Tower
Carnitas,Nopalito
Tika masala burrito,Curry Up Now’s truck
 Kouign Amann,Four Barrel
A dozen Sweetwater oysters,Hog Island Oyster Co.
Chicken porridge,Bush Street’s Out the Door
Sandwich No. 1,Lucca Delicatessen
Pork shoulder fried rice,Sai Jai Thai
Hamburger,4505 Meats
Huarache with cactus salad,El Huarache Loco
Spaghettini with tuna heart,Incanto
Dim sum,Ton Kiang
Pozole,San Jalisco (Fridays)
Sand dabs,Tadich Grill
Cookies-and-cream cookie,Anthony’s Cookies
Paper masala dosa,Dosa
Meatloaf sandwich,Fatted Calf
Foccacia,Liguria Bakery
Omakase menu,Kiss
Calamari with chorizo and black rice,Contigo
Fried green beans,Coco500
Peanut brittle cookie,Mr. & Mrs. Miscellaneous
Munsoned,Deli Board
Faux shark’s fin soup,Benu
Super carne asada burrito,El Farolito
Steak frites,L’Ardoise
Fried chicken,Foreign Cinema
Bone marrow,Alembic
Crawfish beignets,Brenda’s French Soul Food
Potato latke with pickled beets,Baker & Banker
Pickled egg,Comstock Saloon
Breakfast eggs,Boulettes Larder
Rice burger,Sandbox Bakery
A cheese slice,Arinell Pizza
Sesame balls,Yank Sing
Fried chicken sandwich,Marlowe
Coconut buns,King’s Bakery
Malaysian curry laksa soup,Betelnut
Korean taco,Namu’s Ferry Plaza Farmers Market stand
Albondigas soup,Mijita
Bacon-wrapped hot dog,a cart in the Mission
Chicken liver on toast,Frances
Seven flavors of beef,Pagolac
Hawaiian Hangover cake,Bluestem Brasserie
Deviled eggs,Park Tavern
Ube ice cream,Mitchell’s Ice Cream
Green goddess salad,Prospect
Chicken curry lunch special ?at ,Punjab Kabab House
Fried chicken and waffles,Little Skillet
Cracked Dungeness crab,Swan Oyster Depot
