Mamak Laska,Azalina's
Greek Yogurt with Baklava Crumbles and Syrup,Souvia
Hapa Ramen,Hapa Ramen
Dark Chocolate Brownie,Marla Bakery
Miso Asari Clams,Ichi Sushi + Ni Bar
Fried Onion Cake,House of Nanking
Rabbit Pappardelle,Flour + Water
BFC (Best Fried Chicken),Brenda's French Soul Food
Organic Pop Tarts (Seasonal),Foreign Cinema
Americana Burger,Causwells
Jane Bread with Smoked and Whipped Lardo,Huxley
Special Breakfast Sandwich,Devils Teeth Baking Co
Super Carnitas Dorado Burrito,La Taqueria
Sicilian Style Pizza,Tony's Pizza Napoletana
Fugazetta Empanada,El Porteño
Raviolo de Ricotta,Cotogna
"Whipped ""Scrambled"" Eggs",Lazy Bear
Kouign Amann,B. Patisserie
Brisket,4505 Burgers & BBQ
Pad Kee Mao,Kin Khao
Squid Ink Tonnarelli,A16
Baked Pork Buns,Hong Kong Lounge 2
Open Faced Warm Organic Egg Salad Sandwich,Red Dog
Xiao Long Bao,Kingdom of Dumpling
Secret Breakfast,Humphry Slocombe
Chips and Salsa,Papalote
Wagyu Nigiri,Kusakabe
Brussels Sprout Chips,Marlowe
Pretzel,Biergarten
1000–year–old Quail Egg,Benu
El de la Foto,Los Shucos
Garlic Quail,Lers Ros
Afternoon Snack,Bi-Rite Creamery
English Peas (Seasonal),Nico
Top Shelf Marg,PizzaHacker
Smoked Tako (Seasonal),Liholiho Yacht Club
Roasted Chicken for Two,Tosca Café
Tea Leaf Salad,Burma Superstar
Okonomiyaki,Namu Gaji
Pork and Beef Polpette,Piccino
Quesadilla Roja con Chicharrón,Nopalito
Cinnamon Toast and a Coconut,Trouble Coffee
Roti (Seasonal),The Progress
Tasting Menu,Pabu
Eggs-in-Jail,Outerlands
Chocolate Babka,Wise Sons Jewish Delicatessen
Duck Confit Basteeya,Aziza
Smoked Deviled Eggs,Park Tavern
Lemon ricotta soufflé pancake,Griddle Fresh
Seasonal Mushroom Tartlet,Piperade
Tonnarelli Cacio e Pepe,Locanda
Caviar,Jardiniere
Oyster Po' Boy,Hog Island Oyster Co
Peking duck,R&G Lounge
Custard French Toast,Nopa
Panko avocado taco,Lóló
Grilled Cheese,Cockscomb
Caesar Salad with Crabmeat,Anchor Oyster Bar
Any Pintxo,Coqueta
Chinatown Duck Sliders,Maven
Zucchini cakes,Kokkari
Roast Pork Bánh Mì,Saigon Sandwich Shop
Pimento Cheese Burger,ABV
Hot Fudge Sundae,The Ice Cream Bar and Soda Fountain
Sweetbreads,Monsieur Benjamin
The Arista,Merigan
"Smoked Linguine with clam, bacon, San Marzano tomato, and wild arugula pesto​",SPQR
Roasted Chicken,The Commissary
Swedish Meatballs,Pläj
Smoked Trout Salad,The Golden West
The Rebel Within,Craftsman and Wolves
Szechuan green beans,Betelnut
Lamb Scrumpets,The Cavalier
Potato Knish,20th Century Cafe
Loaf of Bread,Tartine Bakery
Tasting Menu,Quince
Poutine with Oxtail,Wayfare Tavern
Salsiccia Pizza,Pizzeria Delfina
Hurricane Popcorn & Pig Ears,Pink Zebra
Lumberjack Cake,Frances
Croque Madame,Les Clos
Crispy Imperial Rolls,The Slanted Door
Sprouted Seed Bread,Verbena
Crispy Potatoes,Plow
Pork Cheddar Sausage,Smokestack
Pierna Enchilada,La Torta Gorda
C.A. State Bird with Provisions,State Bird Provisions
Dried Porcini Doughnuts,Rich Table
Crab Louie (seasonal),Swan Oyster Depot
Josey Baker's Pizza,The Mill
Salted Fish and Minced Pork Rice in Clay Pot,Utopia Cafe
Charcuterie Board,Trou Normand
Seafood Cioppino,Tadich Grill
"Kale with Sunflower Tahini, Rye, and Yogurt",Bar Tartine
Pommes Frites in a Shoe,Aquitaine
Frozen Custard with Egg Yolk Caramel,Fog City
Corn Dog on the Green,Urban Putt
Oysters,Zuni
Key Lime Pie,Blue Plate
Beef Tartare,Belcampo Meat Co
